epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5375000238418579,0.0010000000474974513,2.3347203731536865,0.7593749761581421,0.5581364631652832
1,0.690625011920929,0.0010000000474974513,0.8334617614746094,0.824999988079071,0.4314260482788086
2,0.7523437738418579,0.0010000000474974513,0.6321753263473511,0.8062499761581421,0.46750301122665405
3,0.792187511920929,0.0010000000474974513,0.5490484833717346,0.831250011920929,0.3994908928871155
4,0.80859375,0.0010000000474974513,0.5005219578742981,0.8500000238418579,0.3524590730667114
5,0.8453124761581421,0.0010000000474974513,0.42035502195358276,0.871874988079071,0.34968480467796326
6,0.8296874761581421,0.0010000000474974513,0.4241747260093689,0.8812500238418579,0.32369905710220337
7,0.864062488079071,0.0010000000474974513,0.3638799488544464,0.890625,0.3149328827857971
8,0.8515625,0.0010000000474974513,0.37334561347961426,0.8531249761581421,0.3932870030403137
9,0.8570312261581421,0.0010000000474974513,0.37695449590682983,0.8968750238418579,0.2963310480117798
